id,Week,item_id,Maincategory,Subcategory,search_volume
2020-12-271,2020-12-27,1,Vegetables,Knollen & wortelgewassen,63
2021-01-031,2021-01-03,1,Vegetables,Knollen & wortelgewassen,84
2021-01-101,2021-01-10,1,Vegetables,Knollen & wortelgewassen,67
2021-01-171,2021-01-17,1,Vegetables,Knollen & wortelgewassen,76
2021-01-241,2021-01-24,1,Vegetables,Knollen & wortelgewassen,75
2021-01-311,2021-01-31,1,Vegetables,Knollen & wortelgewassen,80
2021-02-071,2021-02-07,1,Vegetables,Knollen & wortelgewassen,69
2021-02-141,2021-02-14,1,Vegetables,Knollen & wortelgewassen,72
2021-02-211,2021-02-21,1,Vegetables,Knollen & wortelgewassen,65
2021-02-281,2021-02-28,1,Vegetables,Knollen & wortelgewassen,64
2021-03-071,2021-03-07,1,Vegetables,Knollen & wortelgewassen,63
2021-03-141,2021-03-14,1,Vegetables,Knollen & wortelgewassen,55
2021-03-211,2021-03-21,1,Vegetables,Knollen & wortelgewassen,62
2021-03-281,2021-03-28,1,Vegetables,Knollen & wortelgewassen,61
2021-04-041,2021-04-04,1,Vegetables,Knollen & wortelgewassen,68
2021-04-111,2021-04-11,1,Vegetables,Knollen & wortelgewassen,56
2021-04-181,2021-04-18,1,Vegetables,Knollen & wortelgewassen,57
2021-04-251,2021-04-25,1,Vegetables,Knollen & wortelgewassen,50
2021-05-021,2021-05-02,1,Vegetables,Knollen & wortelgewassen,68
2021-05-091,2021-05-09,1,Vegetables,Knollen & wortelgewassen,54
2021-05-161,2021-05-16,1,Vegetables,Knollen & wortelgewassen,63
2021-05-231,2021-05-23,1,Vegetables,Knollen & wortelgewassen,50
2021-05-301,2021-05-30,1,Vegetables,Knollen & wortelgewassen,50
2021-06-061,2021-06-06,1,Vegetables,Knollen & wortelgewassen,49
2021-06-131,2021-06-13,1,Vegetables,Knollen & wortelgewassen,37
2021-06-201,2021-06-20,1,Vegetables,Knollen & wortelgewassen,41
2021-06-271,2021-06-27,1,Vegetables,Knollen & wortelgewassen,37
2021-07-041,2021-07-04,1,Vegetables,Knollen & wortelgewassen,49
2021-07-111,2021-07-11,1,Vegetables,Knollen & wortelgewassen,53
2021-07-181,2021-07-18,1,Vegetables,Knollen & wortelgewassen,48
2021-07-251,2021-07-25,1,Vegetables,Knollen & wortelgewassen,50
2021-08-011,2021-08-01,1,Vegetables,Knollen & wortelgewassen,46
2021-08-081,2021-08-08,1,Vegetables,Knollen & wortelgewassen,48
2021-08-151,2021-08-15,1,Vegetables,Knollen & wortelgewassen,56
2021-08-221,2021-08-22,1,Vegetables,Knollen & wortelgewassen,48
2021-08-291,2021-08-29,1,Vegetables,Knollen & wortelgewassen,47
2021-09-051,2021-09-05,1,Vegetables,Knollen & wortelgewassen,43
2021-09-121,2021-09-12,1,Vegetables,Knollen & wortelgewassen,52
2021-09-191,2021-09-19,1,Vegetables,Knollen & wortelgewassen,57
2021-09-261,2021-09-26,1,Vegetables,Knollen & wortelgewassen,52
2021-10-031,2021-10-03,1,Vegetables,Knollen & wortelgewassen,57
2021-10-101,2021-10-10,1,Vegetables,Knollen & wortelgewassen,64
2021-10-171,2021-10-17,1,Vegetables,Knollen & wortelgewassen,64
2021-10-241,2021-10-24,1,Vegetables,Knollen & wortelgewassen,58
2021-10-311,2021-10-31,1,Vegetables,Knollen & wortelgewassen,59
2021-11-071,2021-11-07,1,Vegetables,Knollen & wortelgewassen,63
2021-11-141,2021-11-14,1,Vegetables,Knollen & wortelgewassen,67
2021-11-211,2021-11-21,1,Vegetables,Knollen & wortelgewassen,64
2021-11-281,2021-11-28,1,Vegetables,Knollen & wortelgewassen,58
2021-12-051,2021-12-05,1,Vegetables,Knollen & wortelgewassen,60
2021-12-121,2021-12-12,1,Vegetables,Knollen & wortelgewassen,53
2021-12-191,2021-12-19,1,Vegetables,Knollen & wortelgewassen,78
2021-12-261,2021-12-26,1,Vegetables,Knollen & wortelgewassen,53
2022-01-021,2022-01-02,1,Vegetables,Knollen & wortelgewassen,63
2022-01-091,2022-01-09,1,Vegetables,Knollen & wortelgewassen,64
2022-01-161,2022-01-16,1,Vegetables,Knollen & wortelgewassen,62
2022-01-231,2022-01-23,1,Vegetables,Knollen & wortelgewassen,67
2022-01-301,2022-01-30,1,Vegetables,Knollen & wortelgewassen,72
2022-02-061,2022-02-06,1,Vegetables,Knollen & wortelgewassen,56
2022-02-131,2022-02-13,1,Vegetables,Knollen & wortelgewassen,62
2022-02-201,2022-02-20,1,Vegetables,Knollen & wortelgewassen,54
2022-02-271,2022-02-27,1,Vegetables,Knollen & wortelgewassen,53
2022-03-061,2022-03-06,1,Vegetables,Knollen & wortelgewassen,64
2022-03-131,2022-03-13,1,Vegetables,Knollen & wortelgewassen,56
2022-03-201,2022-03-20,1,Vegetables,Knollen & wortelgewassen,63
2022-03-271,2022-03-27,1,Vegetables,Knollen & wortelgewassen,59
