iter	Passed	Remaining
0	1	395
1	2	328
2	4	350
3	5	310
4	5	286
5	6	267
6	7	255
7	8	242
8	8	234
9	9	226
10	10	223
11	11	221
12	11	217
13	12	210
14	13	204
15	13	201
16	14	198
17	15	204
18	17	210
19	18	209
20	19	207
21	19	204
22	20	202
23	21	199
24	22	198
25	22	196
26	23	194
27	24	192
28	25	190
29	26	195
30	27	193
31	28	191
32	28	189
33	29	187
34	30	185
35	30	182
36	31	181
37	32	179
38	33	178
39	34	178
40	34	177
41	35	175
42	36	174
43	36	172
44	37	170
45	38	169
46	38	168
47	39	166
48	40	165
49	41	164
50	42	164
51	42	163
52	43	161
53	44	160
54	44	158
55	45	157
56	46	156
57	46	155
58	47	154
59	48	153
60	49	153
61	50	152
62	50	151
63	51	150
64	52	148
65	53	147
66	53	146
67	54	146
68	56	148
69	57	147
70	58	146
71	58	145
72	59	144
73	60	143
74	61	142
75	61	141
76	62	140
77	63	139
78	64	140
79	65	139
80	66	138
81	66	137
82	67	136
83	68	135
84	69	134
85	69	132
86	70	131
87	71	131
88	72	131
89	73	130
90	74	130
91	75	129
92	75	128
93	76	127
94	77	126
95	78	125
96	78	124
97	80	124
98	81	123
99	82	123
100	82	122
101	83	120
102	84	120
103	84	119
104	86	118
105	87	118
106	88	118
107	89	117
108	89	116
109	90	115
110	91	114
111	92	113
112	92	112
113	93	111
114	93	110
115	94	109
116	95	109
117	96	108
118	97	107
119	98	106
120	98	105
121	99	104
122	100	103
123	101	102
124	101	101
125	102	101
126	103	100
127	104	99
128	105	98
129	105	97
130	106	96
131	107	95
132	108	95
133	108	94
134	109	93
135	111	93
136	112	92
137	113	91
138	114	91
139	115	90
140	115	89
141	116	88
142	117	87
143	118	87
144	119	86
145	120	85
146	121	84
147	121	84
148	122	83
149	123	82
150	124	81
151	124	80
152	125	79
153	126	78
154	127	77
155	127	77
156	128	76
157	129	75
158	130	74
159	130	73
160	131	72
161	132	71
162	133	71
163	134	70
164	135	69
165	136	68
166	136	68
167	137	67
168	138	66
169	138	65
170	139	64
171	140	63
172	141	63
173	142	62
174	143	61
175	144	60
176	144	59
177	145	58
178	147	58
179	148	57
180	149	56
181	150	56
182	151	55
183	151	54
184	152	53
185	153	52
186	153	51
187	154	51
188	155	50
189	157	49
190	158	48
191	159	48
192	159	47
193	160	46
194	161	45
195	161	44
196	162	43
197	163	42
198	165	42
199	166	41
200	166	40
201	167	39
202	168	38
203	169	38
204	169	37
205	170	36
206	171	35
207	172	34
208	172	33
209	173	33
210	174	32
211	175	31
212	176	30
213	177	29
214	177	28
215	178	28
216	179	27
217	180	26
218	181	25
219	181	24
220	182	23
221	183	23
222	183	22
223	184	21
224	185	20
225	186	19
226	187	18
227	187	18
228	188	17
229	189	16
230	190	15
231	191	14
232	191	14
233	192	13
234	193	12
235	195	11
236	195	10
237	196	9
238	197	9
239	197	8
240	198	7
241	199	6
242	200	5
243	201	4
244	202	4
245	202	3
246	203	2
247	204	1
248	204	0
249	205	0
